# Created by: riboviz
# Date: 2026-03-12 10:39:37.385602
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	3004
16	4879
17	5470
18	5711
19	6332
20	7231
21	10360
22	15369
23	28719
24	55655
25	97534
26	134461
27	177921
28	302691
29	767602
30	1402429
31	1406127
32	915508
33	368361
34	89680
35	22006
36	7096
37	1927
38	632
39	155
40	74
41	7
42	1
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	0
