# Created by: riboviz
# Date: 2025-11-20 20:16:21.626852
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	193
16	256
17	380
18	790
19	1805
20	4372
21	8854
22	15951
23	29649
24	50632
25	76187
26	108070
27	154371
28	226713
29	373001
30	664656
31	1027505
32	1318410
33	1467012
34	1248389
35	809990
36	551459
37	434703
38	333259
39	230180
40	132257
41	48904
42	8122
43	1459
44	555
45	223
46	86
47	41
48	21
49	4
50	2
