# Created by: riboviz
# Date: 2025-10-03 22:28:55.382511
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	Cerevisiae_RPF
Q0045	0.8
Q0050	0.2
Q0055	0.1
Q0060	0.1
Q0065	0.4
Q0070	0.4
Q0075	0
Q0080	1
Q0085	2.3
Q0105	1.8
Q0110	0.8
Q0115	0.5
Q0120	0.8
Q0130	13.8
Q0140	0.3
Q0160	1.2
Q0250	2
Q0255	0.5
Q0275	2.6
YAL001C	16.3
YAL002W	5.4
YAL003W	3133.7
YAL005C	3354.9
YAL007C	168.6
YAL008W	78.1
YAL009W	16.4
YAL010C	9.8
YAL011W	20.3
YAL012W	773
YAL013W	34.6
YAL014C	27.9
YAL015C	14.1
YAL016W	131.9
YAL017W	18.6
YAL018C	0.1
YAL019W	32.4
YAL020C	12.4
YAL021C	54
YAL022C	31.8
YAL023C	189.5
YAL024C	7.1
YAL025C	111.9
YAL026C	28.9
YAL027W	13
YAL028W	3.2
YAL029C	18.8
YAL030W	106.3
YAL031C	10.3
YAL032C	17.2
YAL033W	46.9
YAL034C	2.3
YAL034W-A	13.9
YAL035W	340.2
YAL036C	148.7
YAL037C-A	0.4
YAL037W	1.1
YAL038W	5378.5
YAL039C	37.5
YAL040C	10.3
YAL041W	24.5
YAL042W	146.1
YAL043C	28
YAL044C	519
YAL044W-A	103.4
YAL046C	89.7
YAL047C	12.7
YAL048C	11.3
YAL049C	99.2
YAL051W	14.6
YAL053W	42.6
YAL054C	1
YAL055W	19.3
YAL056W	7.5
YAL058W	20.2
YAL059W	81.2
YAL060W	147.9
YAL061W	24.9
YAL062W	6
YAL063C	0.2
YAL063C-A	0.5
YAL064C-A	0
YAL064W	0.1
YAL064W-B	0
YAL065C	0.7
YAL067C	0.6
YAL067W-A	0
YAL068C	0.1
YAR002C-A	274.1
YAR002W	68.2
YAR003W	14
YAR007C	88.1
YAR008W	24.7
YAR014C	36.8
YAR015W	230.1
YAR018C	15.2
YAR019C	4.5
YAR020C	3
YAR023C	1.2
YAR027W	62.2
YAR028W	30.1
YAR029W	0.9
YAR031W	17.8
YAR033W	17.9
YAR035C-A	0
YAR035W	1.3
YAR042W	23.4
YAR050W	0.1
YAR064W	0
YAR066W	24.6
YAR068W	5.5
YAR071W	537.5
YBL001C	279.7
YBL002W	1143.5
YBL003C	1140.4
YBL004W	38.4
YBL005W	7.6
YBL006C	77.1
YBL007C	111.8
YBL008W	12.7
YBL008W-A	21.8
YBL009W	22.8
YBL010C	18.9
YBL011W	28.4
YBL013W	7.8
YBL014C	5.3
YBL015W	31.9
YBL016W	41.6
YBL017C	62.9
YBL018C	73.3
YBL019W	5.9
YBL020W	19.4
YBL021C	47.9
YBL022C	76.1
YBL023C	34
YBL024W	147.4
YBL025W	30.8
YBL026W	210.6
YBL027W	3529.5
YBL028C	248
YBL029C-A	34.5
YBL029W	3
YBL030C	587.5
YBL031W	9.8
YBL032W	162.2
YBL033C	52.2
YBL034C	11.2
YBL035C	24.2
YBL036C	144.1
YBL037W	17.8
YBL038W	60.5
YBL039C	258.7
YBL039W-B	13.6
YBL040C	121.2
YBL041W	305.2
YBL042C	45.6
YBL043W	0.5
YBL044W	1
YBL045C	110.4
YBL046W	24.7
YBL047C	118
YBL049W	2.3
YBL050W	165
YBL051C	67.9
YBL052C	5.8
YBL054W	26.3
YBL055C	22.5
YBL056W	106.8
YBL057C	70.6
YBL058W	166.8
YBL059C-A	78.5
YBL059W	30.1
YBL060W	9.2
YBL061C	35.2
YBL063W	8
YBL064C	108.4
YBL066C	4.7
YBL067C	19.5
YBL068W	78.3
YBL069W	44.1
YBL071C-B	5
YBL071W-A	123.9
YBL072C	3468.5
YBL074C	16.3
YBL075C	0.4
YBL076C	385.3
YBL078C	42.4
YBL079W	30.8
YBL080C	7.7
YBL081W	26.6
YBL082C	27.5
YBL084C	8
YBL085W	24.8
YBL086C	17.3
YBL087C	2271.1
YBL088C	1.5
YBL089W	18.7
YBL090W	70.1
YBL091C	152.5
YBL091C-A	42
YBL092W	3632.6
YBL093C	71.8
YBL095W	10.1
YBL097W	16.7
YBL098W	27.4
YBL099W	446.2
YBL100W-C	0.8
YBL101C	14.5
YBL102W	80.7
YBL103C	20
YBL104C	10.5
YBL105C	22.9
YBL106C	7.1
YBL107C	35.2
YBL108C-A	0
YBL111C	1.1
YBL112C	0
YBL113C	0.1
YBR001C	23.6
YBR002C	34.2
YBR003W	24.6
YBR004C	17.8
YBR005W	14.4
YBR006W	16.7
YBR007C	10.1
YBR008C	0.4
YBR009C	2234.1
YBR010W	1669.8
YBR011C	1478.4
YBR013C	31.8
YBR014C	103.7
YBR015C	100.3
YBR016W	264
YBR017C	70.8
YBR018C	0.4
YBR019C	0.3
YBR020W	0
YBR021W	9.8
YBR022W	48.3
YBR023C	31.8
YBR024W	22.3
YBR025C	768.5
YBR026C	85.6
YBR028C	25.2
YBR029C	64.5
YBR030W	30.5
YBR031W	2954.2
YBR033W	0.2
YBR034C	134.4
YBR035C	236.6
YBR036C	99.7
YBR037C	36.2
YBR038W	47.2
YBR039W	208.1
YBR040W	0.8
YBR041W	37.1
YBR042C	29.2
YBR043C	6.4
YBR044C	7.9
YBR045C	0.7
YBR046C	70
YBR047W	14.9
YBR048W	2255.7
YBR049C	76.2
YBR050C	2.4
YBR052C	181.9
YBR053C	73.6
YBR054W	49.7
YBR055C	13.6
YBR056W	65.4
YBR056W-A	8.8
YBR057C	24.7
YBR058C	39
YBR058C-A	226.1
YBR059C	39.2
YBR060C	18.8
YBR061C	61.7
YBR062C	58.8
YBR063C	0.1
YBR065C	17.4
YBR066C	50.2
YBR067C	358
YBR068C	157.9
YBR069C	136.3
YBR070C	28.1
YBR071W	66.7
YBR072C-A	2.6
YBR072W	83.3
YBR073W	29
YBR074W	40.8
YBR076W	0.2
YBR077C	60.3
YBR078W	1199.8
YBR079C	217.8
YBR080C	94.2
YBR081C	16.5
YBR082C	806
YBR083W	43.3
YBR084C-A	2900.4
YBR084W	132
YBR085C-A	239.4
YBR085W	21.3
YBR086C	75.1
YBR087W	44.6
YBR088C	223.5
YBR089C-A	288.5
YBR090C	265.7
YBR091C	69.4
YBR092C	217.6
YBR093C	153.4
YBR094W	28.9
YBR095C	21.2
YBR096W	116.1
YBR097W	7.5
YBR098W	5.8
YBR101C	98.8
YBR102C	26.1
YBR103W	20.5
YBR104W	38.3
YBR105C	18.7
YBR106W	813.1
YBR107C	5.7
YBR108W	16.3
YBR109C	531.4
YBR110W	34.8
YBR111C	163.1
YBR111W-A	80
YBR112C	68.8
YBR114W	6.6
YBR115C	80.3
YBR117C	0.4
YBR118W	8490.9
YBR119W	24.5
YBR120C	41.5
YBR121C	489.1
YBR122C	81.5
YBR123C	20.8
YBR125C	26.2
YBR126C	258.2
YBR126W-A	494
YBR127C	798.9
YBR128C	4
YBR129C	21.3
YBR130C	42.5
YBR131W	7.9
YBR132C	17.2
YBR133C	17.6
YBR135W	113.8
YBR136W	3.8
YBR137W	108
YBR138C	12.1
YBR139W	75.2
YBR140C	11.5
YBR141C	19.1
YBR142W	42.1
YBR143C	403.5
YBR145W	17.7
YBR146W	64.4
YBR147W	1.9
YBR148W	2.3
YBR149W	204.2
YBR150C	7.7
YBR151W	74
YBR152W	17
YBR153W	12.7
YBR154C	290.8
YBR155W	65.7
YBR156C	7.6
YBR157C	22.8
YBR158W	68.3
YBR159W	173.8
YBR160W	76.1
YBR161W	19.9
YBR162C	501.9
YBR162W-A	366.6
YBR163W	5
YBR164C	184.3
YBR165W	27.5
YBR166C	55.2
YBR167C	32.1
YBR168W	7.9
YBR169C	36.6
YBR170C	57.5
YBR171W	130.7
YBR172C	42.1
YBR173C	215.6
YBR175W	19.4
YBR176W	31.3
YBR177C	73.3
YBR179C	19.8
YBR180W	0.1
YBR181C	4257.5
YBR182C	1.9
YBR182C-A	0.5
YBR183W	13.7
YBR184W	4
YBR185C	37.3
YBR186W	1.1
YBR187W	133
YBR188C	39.1
YBR189W	3648.1
YBR191W	2902.6
YBR192W	28.2
YBR193C	27
YBR194W	24
YBR195C	19
YBR196C	1683.7
YBR196C-A	1415.8
YBR196C-B	1.2
YBR197C	22.6
YBR198C	47.5
YBR199W	82.2
YBR200W	29.2
YBR200W-A	0
YBR201C-A	7.1
YBR201W	19.9
YBR202W	41.1
YBR203W	1
YBR204C	20.7
YBR205W	111.8
YBR207W	47
YBR208C	16.3
YBR210W	54.8
YBR211C	19.6
YBR212W	39.9
YBR213W	17.9
YBR214W	30.5
YBR215W	19.4
YBR216C	22.5
YBR217W	10.2
YBR218C	118.2
YBR219C	23.4
YBR220C	25.4
YBR221C	512.3
YBR221W-A	0.1
YBR222C	74.4
YBR223C	5.6
YBR225W	8
YBR227C	32.4
YBR228W	7.7
YBR229C	41.7
YBR230C	145.1
YBR230W-A	47.1
YBR231C	20.5
YBR233W	24.9
YBR233W-A	53.1
YBR234C	162.3
YBR235W	10.4
YBR236C	38.6
YBR237W	6.4
YBR238C	16.5
YBR239C	5.3
YBR240C	1.6
YBR241C	14.3
YBR242W	49.3
YBR243C	43.1
YBR244W	176.3
YBR245C	56.8
YBR246W	22
YBR247C	83
YBR248C	94.1
YBR249C	439.3
YBR250W	0.6
YBR251W	47.8
YBR252W	207
YBR253W	42.5
YBR254C	53.7
YBR255C-A	20.8
YBR255W	7.6
YBR256C	61.4
YBR257W	25.7
YBR258C	21.6
YBR259W	3.4
YBR260C	26
YBR261C	115.1
YBR262C	66.6
YBR263W	265.8
YBR264C	43.9
YBR265W	56.3
YBR267W	72.4
YBR268W	112.8
YBR269C	108.8
YBR270C	4.7
YBR271W	20.4
YBR272C	28.1
YBR273C	52.6
YBR274W	10.5
YBR275C	10.7
YBR276C	7
YBR278W	25.1
YBR279W	62.7
YBR280C	8.7
YBR281C	28
YBR282W	91.1
YBR283C	224.4
YBR284W	1
YBR285W	2.8
YBR286W	521.7
YBR287W	49.5
YBR288C	38.8
YBR289W	21.9
YBR290W	44.3
YBR291C	13.8
YBR293W	2.6
YBR294W	0
YBR295W	1.9
YBR296C	8.6
YBR296C-A	0
YBR297W	4.2
YBR298C	0.1
YBR298C-A	2.1
YBR299W	1.6
YBR301W	0.8
YBR302C	35.3
YCL001W	161.3
YCL001W-A	0.2
YCL001W-B	0.1
YCL002C	10.1
YCL004W	4.1
YCL005W	13.8
YCL005W-A	371.7
YCL008C	44.4
YCL009C	355
YCL010C	34.1
YCL011C	103.7
YCL012C	29
YCL014W	20.2
YCL016C	15.9
YCL017C	114
YCL018W	0
YCL021W-A	18.7
YCL024W	7.8
YCL025C	26.7
YCL026C-A	1.7
YCL026C-B	21.6
YCL027W	12.2
YCL028W	234.3
YCL029C	24.9
YCL030C	247.3
YCL031C	84.2
YCL032W	18.4
YCL033C	76.2
YCL034W	69.7
YCL035C	400.5
YCL036W	11.4
YCL037C	360
YCL038C	13.8
YCL039W	11.5
YCL040W	305.3
YCL042W	310.2
YCL043C	748.4
YCL044C	32.1
YCL045C	126.3
YCL047C	42.9
YCL048W	0.2
YCL048W-A	0.3
YCL049C	17.7
YCL050C	326.3
YCL051W	11.9
YCL052C	24.9
YCL054W	79
YCL054W-A	96.6
YCL055W	40
YCL056C	9.1
YCL057C-A	218.6
YCL057W	84.9
YCL058C	132.5
YCL058W-A	52.7
YCL059C	146.2
YCL061C	15.2
YCL063W	18.4
YCL064C	454.1
YCL068C	4.6
YCL069W	0.2
YCL073C	0.8
YCR002C	119
YCR003W	47.8
YCR004C	302.9
YCR005C	78.3
