# Created by: riboviz
# Date: 2025-10-03 20:00:27.150583
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	185
16	252
17	417
18	852
19	2322
20	5160
21	10446
22	19077
23	30900
24	43651
25	58878
26	85804
27	126167
28	176413
29	272739
30	481514
31	775086
32	1062337
33	1245894
34	1122587
35	765141
36	539359
37	431360
38	346041
39	262933
40	166626
41	74548
42	16793
43	2750
44	1006
45	536
46	294
47	151
48	78
49	29
50	9
