# Created by: riboviz
# Date: 2025-10-03 19:59:33.240347
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ReadLen	Pos	Counts
10	-24	0
11	-24	0
12	-24	0
13	-24	0
14	-24	0
15	-24	0
16	-24	0
17	-24	0
18	-24	0
19	-24	0
20	-24	0
21	-24	4
22	-24	4
23	-24	2
24	-24	2
25	-24	9
26	-24	2
27	-24	16
28	-24	12
29	-24	7
30	-24	16
31	-24	44
32	-24	52
33	-24	44
34	-24	46
35	-24	29
36	-24	26
37	-24	20
38	-24	27
39	-24	12
40	-24	11
41	-24	5
42	-24	1
43	-24	1
44	-24	0
45	-24	0
46	-24	1
47	-24	0
48	-24	0
49	-24	0
50	-24	0
10	-23	0
11	-23	0
12	-23	0
13	-23	0
14	-23	0
15	-23	0
16	-23	0
17	-23	0
18	-23	0
19	-23	0
20	-23	2
21	-23	0
22	-23	1
23	-23	1
24	-23	10
25	-23	3
26	-23	14
27	-23	11
28	-23	5
29	-23	6
30	-23	28
31	-23	40
32	-23	31
33	-23	46
34	-23	48
35	-23	46
36	-23	33
37	-23	25
38	-23	15
39	-23	16
40	-23	7
41	-23	6
42	-23	2
43	-23	1
44	-23	1
45	-23	3
46	-23	1
47	-23	0
48	-23	0
49	-23	0
50	-23	0
10	-22	0
11	-22	0
12	-22	0
13	-22	0
14	-22	0
15	-22	0
16	-22	0
17	-22	0
18	-22	0
19	-22	0
20	-22	1
21	-22	0
22	-22	4
23	-22	2
24	-22	0
25	-22	5
26	-22	10
27	-22	9
28	-22	8
29	-22	26
30	-22	20
31	-22	32
32	-22	53
33	-22	45
34	-22	48
35	-22	31
36	-22	38
37	-22	29
38	-22	30
39	-22	22
40	-22	20
41	-22	18
42	-22	10
43	-22	5
44	-22	2
45	-22	0
46	-22	0
47	-22	0
48	-22	0
49	-22	0
50	-22	0
10	-21	0
11	-21	0
12	-21	0
13	-21	0
14	-21	0
15	-21	0
16	-21	0
17	-21	0
18	-21	0
19	-21	0
20	-21	0
21	-21	3
22	-21	3
23	-21	1
24	-21	10
25	-21	19
26	-21	2
