# Created by: riboviz
# Date: 2025-10-03 21:18:02.910507
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ReadLen	Pos	Counts
10	-24	0
11	-24	0
12	-24	0
13	-24	0
14	-24	0
15	-24	0
16	-24	0
17	-24	0
18	-24	0
19	-24	0
20	-24	0
21	-24	7
22	-24	0
23	-24	1
24	-24	2
25	-24	3
26	-24	17
27	-24	65
28	-24	912
29	-24	782
30	-24	464
31	-24	201
32	-24	50
33	-24	0
34	-24	0
35	-24	0
36	-24	0
37	-24	0
38	-24	0
39	-24	0
40	-24	0
41	-24	0
42	-24	0
43	-24	0
44	-24	0
45	-24	0
46	-24	0
47	-24	0
48	-24	0
49	-24	0
50	-24	0
10	-23	0
11	-23	0
12	-23	0
13	-23	0
14	-23	0
15	-23	0
16	-23	0
17	-23	0
18	-23	0
19	-23	0
20	-23	0
21	-23	0
22	-23	0
23	-23	0
24	-23	1
25	-23	2
26	-23	5
27	-23	173
28	-23	657
29	-23	705
30	-23	535
31	-23	230
32	-23	40
33	-23	0
34	-23	0
35	-23	0
36	-23	0
37	-23	0
38	-23	0
39	-23	0
40	-23	0
41	-23	0
42	-23	0
43	-23	0
44	-23	0
45	-23	0
46	-23	0
47	-23	0
48	-23	0
49	-23	0
50	-23	0
10	-22	0
11	-22	0
12	-22	0
13	-22	0
14	-22	0
15	-22	0
16	-22	0
17	-22	0
18	-22	0
19	-22	0
20	-22	0
21	-22	0
22	-22	0
23	-22	1
24	-22	1
25	-22	6
26	-22	19
27	-22	112
28	-22	826
29	-22	1028
30	-22	652
31	-22	115
32	-22	39
33	-22	0
34	-22	0
35	-22	0
36	-22	0
37	-22	0
38	-22	0
39	-22	0
40	-22	0
41	-22	0
42	-22	0
43	-22	0
44	-22	0
45	-22	0
46	-22	0
47	-22	0
48	-22	0
49	-22	0
50	-22	0
10	-21	0
11	-21	0
12	-21	0
13	-21	0
14	-21	0
15	-21	0
16	-21	0
17	-21	0
18	-21	0
19	-21	0
20	-21	0
21	-21	0
22	-21	0
23	-21	1
24	-21	1
25	-21	9
26	-21	15
