# Created by: riboviz
# Date: 2025-10-03 21:18:52.6813
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	201
16	211
17	383
18	633
19	749
20	1185
21	2817
22	5916
23	13859
24	33553
25	80102
26	353352
27	3375166
28	17799051
29	17857070
30	9037185
31	3162972
32	618308
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
