# Created by: riboviz
# Date: 2025-09-09 21:45:13.242325
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL062W	68	10	22	2.53861288006796e-07	3.05117210537031e-05	8.47395335705875e-11
YAL061W	82	12	25	9.66461738978965e-10	4.21492991982774e-07	5.47928024743109e-15
YAL060W	1536	248	669	3.46505520815383e-36	1.61419033358331e-11	4.84565064709353e-42
YAL059W	974	123	374	1.24815009491998e-20	4.78361635113816e-09	1.65352096196918e-26
YAL058W	361	61	157	1.54820274403053e-22	4.64728394658491e-09	4.72697413784835e-28
YAL056W	188	30	103	9.81214183520054e-19	1.35052857921184e-05	2.55201700131881e-20
YAL055W	121	19	45	3.02797880424427e-09	7.84442156540443e-06	3.86625044558753e-13
YAL053W	1681	205	710	2.04217937566134e-63	1.57340060146987e-25	2.01382475861826e-82
YAL051W	553	94	219	2.42279908351957e-37	2.4655225491765e-18	6.8268972527433e-52
YAL049C	1113	179	498	1.60199316066349e-24	1.74760251441506e-08	7.94185075397559e-29
YAL048C	211	30	102	4.77366054991233e-21	1.62038307525926e-07	8.27162748599824e-25
YAL047C	166	35	84	2.35243571916521e-14	1.38034085669218e-05	5.38695873611354e-17
YAL046C	448	60	106	1.75010821923236e-13	4.26039099608578e-10	1.25626893327328e-21
YAL044W-A	431	52	150	4.62177917487994e-13	1.13582972590089e-05	4.30373383796658e-16
YAL044C	5158	697	2303	1.02423386049266e-26	5.00726504465198e-11	5.76836182288336e-34
YAL043C	1382	160	408	1.33874621139592e-64	1.03995401827453e-38	1.88105809659614e-99
YAL042W	3610	438	1198	7.93127777248955e-52	1.6953573385728e-28	2.00946939126087e-76
YAL041W	780	102	346	1.88830204250053e-45	1.2623113515791e-16	2.72618449206949e-56
YAL040C	275	30	127	2.92533181602724e-24	3.62564636903658e-09	1.47879832717341e-29
YAL039C	618	66	197	3.51189878901401e-26	4.77534419521251e-15	1.85151535475518e-38
YAL038W	330326	34582	86439	1.175770204671e-77	1.41246430597493e-43	1.57845428846751e-116
YAL036C	3219	459	1223	2.29850625991618e-44	7.35350974203329e-17	9.59470004707412e-56
YAL035W	16435	2136	7258	3.16563632663809e-128	4.54313421621231e-43	1.94699870363031e-157
YAL034W-A	182	26	71	2.3544545450494e-13	8.81504539548635e-06	1.81353992134875e-16
YAL033W	368	55	103	2.0161372563037e-12	4.29625958190063e-08	1.8037348074228e-18
YAL032C	273	46	112	3.92261413312533e-17	1.20458923324544e-07	6.82809796430232e-22
YAL031C	281	38	123	2.54073098792748e-25	5.1368843913267e-09	3.52618770876878e-30
YAL030W	606	52	188	2.02845411810674e-15	1.15440575141682e-07	1.62170280521044e-20
YAL029C	785	92	362	1.27634910657436e-59	5.15936877565276e-22	9.56318376298683e-75
YAL028W	57	3	14	2.09516531432443e-10	3.74628981351159e-06	1.6701508733137e-14
YAL027W	108	15	45	1.43131037404438e-09	0.00015677198833032	7.49410739251618e-12
YAL026C	1444	197	638	2.55693781307503e-76	3.90137323246309e-26	1.68193945953158e-93
YAL025C	1393	145	581	1.47608206768649e-34	5.60996082487694e-13	8.74089482794442e-43
YAL024C	251	39	97	4.61032585892355e-25	2.20483948684983e-12	2.52379927529738e-34
YAL023C	7748	957	2689	5.01656009993172e-88	7.37218335354601e-43	1.5055561531224e-124
YAL022C	1228	149	342	3.43342886922548e-44	1.17791216288638e-26	1.26813104785888e-67
YAL021C	2616	296	875	6.47318198401755e-84	4.42784787526595e-43	2.49268736359707e-121
YAL020C	215	37	63	3.01576488324214e-13	1.19589749524826e-09	6.30203046705428e-21
YAL019W	1844	234	765	2.9501811872406e-81	1.06441083502679e-29	3.18110024134861e-102
YAL017W	680	105	367	9.56773436821064e-49	1.41182615077639e-13	1.58173573239723e-54
YAL016W	4102	554	1900	1.61281655703329e-69	4.7019652662668e-25	1.12563844672832e-86
YAL015C	175	16	76	7.57544554220521e-18	2.15413447179983e-06	8.58623246266797e-21
YAL014C	380	64	144	9.02269865959896e-20	3.12758787215723e-09	4.82927107277886e-26
YAL013W	826	76	202	8.91507299117375e-37	2.83210767049031e-26	1.52275665808694e-60
YAL012W	23844	2393	8020	1.0864472688313e-59	1.24003271002995e-26	8.66771006310771e-81
YAL011W	174	19	79	2.82646649690797e-17	1.99870867034426e-06	2.13735808693173e-20
YAL010C	153	37	86	6.08856233234544e-13	0.000193872100596415	2.50145148786452e-14
YAL009W	174	29	58	1.52091600063735e-11	4.08842437901662e-07	1.35918650665386e-16
YAL008W	523	63	203	2.79843866750187e-21	5.26227478945302e-09	5.60701315493105e-27
YAL007C	1753	240	767	8.83228422466725e-26	2.47443002232138e-09	5.70588248030268e-31
YAL005C	222910	27647	91812	1.07284930553376e-94	2.95526655618158e-35	2.40055728546557e-120
YAL003W	72605	6885	24985	4.99770812788663e-32	1.07919495643367e-12	2.12949033697338e-40
YAL002W	266	43	111	2.60988367114862e-25	3.41797269634572e-10	9.4726264978592e-32
YAL001C	461	66	217	2.20334320205989e-37	5.25054193932819e-13	4.84231507171123e-45
YAR002W	1624	168	733	2.88605965697657e-54	2.27334013042698e-17	3.42552896094603e-64
YAR002C-A	2568	392	1569	6.98949201627723e-27	4.41427167613492e-06	5.81514005723913e-27
YAR003W	210	37	92	5.84489672989568e-15	1.6780994049685e-06	1.11644877778878e-18
YAR007C	2164	345	985	1.02184291789107e-55	1.34539207181022e-18	4.9818974620531e-67
YAR008W	205	32	96	1.82477791378183e-13	9.48244802599306e-05	3.67111121274131e-15
YAR014C	1244	137	653	1.03093608003152e-56	2.95804052386697e-15	5.5333474676052e-63
YAR015W	4603	545	1774	7.9934590055023e-42	1.55283137403169e-18	7.33380734938255e-56
YAR018C	221	30	110	1.26061469181585e-17	9.06960530722161e-06	9.57063214439886e-20
YAR019C	160	21	70	2.29640644943447e-19	1.18070519125399e-07	1.10452808280124e-23
YAR027W	516	63	200	1.06964358614676e-20	1.15286480591937e-09	2.4084042414495e-27
YAR028W	353	42	114	1.15902718956829e-16	9.43000706455446e-09	7.07931457353685e-23
YAR031W	170	19	108	1.03117643192623e-12	0.00386080900205685	3.56961962497694e-12
YAR033W	213	27	109	2.29398175232378e-13	0.000653360361969771	7.32434833580492e-14
YAR035W	50	10	9	1.96030601307016e-05	1.50426158967429e-06	2.64827894427171e-10
YAR042W	1025	114	335	2.66392030024382e-64	7.11202070873209e-35	1.01393367937653e-94
YAR066W	82	12	46	2.32053188478177e-07	0.0148133522879208	1.67843783009218e-07
YAR071W	18752	2115	7608	1.66074347075937e-66	2.42102252576743e-26	5.62028748530833e-86
YBL107C	125	54	53	0.000213302541367313	0.00134089929473533	1.97557464995425e-06
YBL106C	172	22	81	5.73519404481313e-19	5.0929705685985e-07	1.61673382529525e-22
YBL105C	784	78	347	8.629251408312e-60	6.16100210603512e-20	4.71505411144408e-72
YBL104C	362	59	206	7.19905237328677e-29	1.13448221570666e-07	6.59295500918957e-31
YBL103C	353	52	206	5.54348123657847e-23	1.95561044445214e-05	3.82963322829481e-23
YBL102W	906	140	416	4.81670302989124e-21	1.22094380703302e-08	2.58979873557322e-26
YBL101C	530	82	181	1.84156614794695e-39	5.42666154329688e-23	2.9981592434885e-59
YBL099W	11963	1786	5331	1.22849370809877e-75	2.74493419747159e-25	8.39115297550094e-92
YBL098W	357	59	158	2.92509858726863e-21	2.33507849987067e-07	9.41573471997405e-25
YBL097W	301	43	171	8.21107867835446e-26	9.49099715822158e-07	2.95500676630499e-27
YBL095W	115	14	31	8.88077109078029e-11	2.60555349634983e-07	3.82896599090729e-16
YBL093C	696	86	333	5.70440092469669e-23	1.82698677617945e-09	6.27060317682087e-29
YBL092W	54242	5082	19949	1.51894092390253e-19	9.04668643291945e-09	2.82026421309986e-25
YBL091C-A	195	26	65	1.27036209066468e-12	1.03548076841345e-06	4.92107007271534e-17
YBL091C	3761	444	1591	2.53860954436937e-50	1.68303137356378e-13	1.36691169064274e-55
YBL090W	453	52	142	5.50701374400323e-15	1.25608413035661e-07	4.11180233274578e-20
YBL089W	181	27	67	2.61850682279469e-16	3.5581342106028e-08	7.02179059595442e-22
YBL088C	117	19	59	3.37680545988634e-15	5.86373133416422e-05	9.26243867193395e-17
YBL087C	31375	3488	13066	1.83102446839785e-23	8.38993754825706e-09	1.92942223104442e-28
YBL086C	273	39	109	3.3319897652782e-18	8.74464138038402e-08	6.2319493309294e-23
YBL085W	964	109	444	1.41202051336255e-55	2.7329181959735e-18	1.71389566736749e-66
YBL084C	232	24	108	3.29583423183925e-26	1.76975530586203e-08	4.13308973229512e-30
YBL082C	773	107	262	1.4599982444244e-38	3.07824513505558e-19	5.07846432096067e-54
YBL081W	449	39	189	3.10071063126997e-27	2.7135082709796e-09	4.83797941673376e-32
YBL080C	105	17	59	9.62065637250429e-11	0.00293125361589559	5.56715275226597e-11
YBL079W	1448	212	683	9.5534398898424e-74	1.62590152279858e-23	7.23044805960835e-88
YBL078C	199	32	136	5.30462095110460e-11	0.00294019004080658	3.65540488935337e-11
YBL076C	21104	2347	8080	5.07872058676577e-137	2.61074117060565e-49	7.53524916041373e-173
YBL074C	132	18	76	3.62827677692266e-12	0.000349418280139191	2.20125926268308e-13
YBL072C	79181	8794	25155	2.88736839842286e-32	1.04853589644216e-13	6.605233408255e-42
YBL071W-A	457	75	257	5.01366393486398e-10	0.00333500047989676	2.21603735356365e-10
YBL069W	827	111	434	7.03563651806044e-32	1.8241023966518e-12	5.59001227636893e-40
YBL068W	1081	140	511	4.50784545666312e-29	7.18449827200785e-08	2.33072140200685e-31
YBL067C	457	71	185	3.84504673450212e-29	6.05724140610191e-11	8.75675725724074e-36
YBL066C	199	29	94	2.07015590890983e-21	1.81006101578251e-08	2.22642598653574e-26
YBL064C	660	58	289	4.14704916161393e-27	7.60830033277813e-10	1.0528698681575e-32
YBL063W	250	38	100	3.86463602455446e-21	7.13511219772484e-10	5.72882717773766e-28
YBL061C	966	135	573	1.0080545992073e-42	4.57706175537169e-10	1.00319324497504e-44
YBL060W	195	30	77	1.03292398970296e-17	2.39182539014153e-09	1.7775335437415e-24
YBL059C-A	347	34	145	4.23498837877745e-12	6.24153936447818e-05	2.3040125935016e-14
YBL059W	75	19	28	4.83614541636722e-06	0.000638901002204645	3.22171183985076e-08
YBL058W	3823	418	1703	2.70947512498491e-55	3.74288331604994e-18	4.40227935068189e-66
YBL057C	723	102	259	3.81078673377779e-21	4.10045175535104e-11	1.70404211444798e-29
YBL056W	1656	224	1122	7.58343602942668e-43	9.27445366999834e-09	1.0926938697993e-42
YBL055C	423	44	175	1.1135789468948e-25	1.58148413654091e-10	1.74852022868781e-32
YBL054W	589	61	227	7.0966876362768e-36	2.98236585241625e-13	3.40944151990447e-44
YBL052C	98	17	55	2.05696142491094e-12	0.00056148322917277	2.87879828190548e-13
YBL051C	1954	249	943	4.97232823458582e-64	3.218403672062e-22	1.66946107230556e-78
YBL050W	1400	177	720	8.32155480115952e-32	2.61371615365959e-09	1.54699368167729e-35
YBL047C	8879	988	3992	1.99869652308503e-158	8.48467480471366e-48	1.66326935285852e-187
YBL046W	454	50	207	2.33706749221867e-29	3.87406789394319e-10	7.44854747087093e-35
YBL045C	2631	303	1075	1.26221258662956e-48	3.88670281221351e-17	1.75180068684849e-59
YBL042C	1378	160	447	6.18987566076198e-49	1.09028942011056e-24	2.12323998258406e-69
YBL041W	3354	456	1388	2.31422776235579e-29	8.30730409969418e-11	8.99375142740293e-36
YBL040C	1080	137	523	5.63070497137011e-23	5.98562100549207e-08	6.80751067922764e-27
YBL039C	7928	1245	3538	1.30172628184239e-68	6.02549116240166e-22	1.07193877569801e-81
YBL038W	455	90	171	1.23611144084651e-16	4.18983362468105e-10	1.91602679327802e-24
YBL037W	622	106	257	2.73803112942768e-39	3.2213978643611e-19	1.31497944833942e-54
YBL036C	1351	165	576	3.81902950079846e-29	2.11459712743814e-11	2.14056825900561e-36
YBL035C	799	113	368	2.65662824082868e-41	1.47949249218243e-13	7.66247276626318e-49
YBL034C	659	104	258	3.99969826766076e-46	7.44606860397855e-22	1.43522826109152e-63
YBL033C	699	88	242	3.74065833703576e-33	5.08055115249789e-17	9.1253544358155e-47
YBL032W	2996	364	1226	1.63503464196073e-44	6.38190315226666e-23	1.62860031904524e-63
YBL031W	131	26	56	5.53788307143618e-10	9.95885916601783e-06	1.1958907071476e-13
YBL030C	11975	1558	4865	4.99517129708404e-43	3.09780656652602e-15	1.674788772261e-52
YBL029C-A	120	24	48	3.68124634133447e-07	0.000338316842240128	1.76706170910185e-09
YBL029W	74	11	31	3.92901196956611e-08	0.000271468080350504	2.14579593799415e-10
YBL028C	1064	168	473	9.30641650148304e-12	0.000568924886451643	8.93122753516416e-13
YBL027W	53427	7468	24671	4.87996698561028e-29	4.04949673745075e-09	3.56637805051004e-33
YBL026W	570	90	200	3.4564207184847e-13	2.28289333177379e-07	2.70719232566888e-18
YBL025W	187	24	65	2.74474739433326e-12	1.46538676318059e-07	9.51793420601746e-18
YBL024W	3522	445	1767	2.55875457860453e-72	1.22036764287441e-17	3.62249617433913e-78
YBL023C	1134	121	477	3.1592233009371e-58	1.17377684927865e-23	8.59542196639296e-76
YBL022C	4292	495	1590	8.98095103178549e-110	1.26207102050947e-49	4.03515133068223e-151
YBL021C	274	41	100	3.05259480036575e-15	4.54303013351551e-08	7.32351856943942e-21
YBL020W	610	98	232	3.12642423137877e-33	9.92743777502436e-16	2.98025602835835e-45
YBL019W	81	10	35	2.40192775775102e-10	5.23463084981618e-05	4.49339836380627e-13
YBL018C	244	39	136	9.55481321002207e-11	0.00119423076139071	1.45888947227655e-11
YBL017C	3385	476	1522	1.35357827965488e-118	3.75169090115147e-41	3.05189312867972e-147
YBL016W	736	95	283	2.57823589891929e-32	9.24903487135706e-16	1.58421884855129e-44
YBL015W	887	105	291	3.9258281052132e-39	4.49325618862189e-18	4.61581863288415e-53
YBL014C	115	11	41	2.87478304344611e-14	1.2872327258798e-06	2.86333248596354e-18
YBL013W	142	22	55	4.51666911770689e-14	4.77363477950335e-07	1.20380434038775e-18
YBL011W	982	113	306	6.47010112750731e-47	1.49058481632751e-24	1.60866690268557e-67
YBL010C	204	26	88	8.50797081032443e-15	1.86632552054348e-05	3.70852885825334e-17
YBL009W	646	74	272	2.35497980610128e-42	4.80681711227221e-15	1.02756453339628e-51
YBL008W	304	38	123	4.41263565621863e-27	1.32850639595621e-10	1.06107633101869e-33
YBL007C	7232	907	2977	1.07822862042936e-136	2.7554249323241e-46	1.70163129258906e-168
YBL006C	572	70	197	1.1665786950007e-19	2.05409680186836e-08	6.51621674711897e-25
YBL005W	134	25	62	5.31604935513849e-13	1.73787320186621e-05	8.37161658199984e-16
YBL004W	3558	472	1762	3.19313574376849e-149	1.09789648525505e-40	3.27636567484809e-170
YBL003C	10160	1666	4699	2.81304493333427e-20	8.99868298764761e-08	1.47609642896254e-24
YBL002W	9866	1388	3929	7.93062239693138e-20	4.62709266335844e-07	3.07251990514489e-23
YBL001C	1341	217	663	5.63600569661157e-12	0.000151462561734894	9.52151725258326e-14
YBR001C	582	77	241	2.02941315304797e-30	1.03854673962073e-09	4.55179386975574e-35
YBR002C	486	51	149	9.49714753705956e-22	2.61202255004455e-12	1.97915836688525e-31
YBR003W	350	51	213	9.07224611194153e-23	3.96059775482135e-06	4.39554062562648e-24
YBR004C	329	46	150	2.03446382702446e-21	8.66985642315356e-09	8.32411432308864e-27
