# Created by: riboviz
# Date: 2025-09-09 20:42:14.492726
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ReadLen	Pos	Counts
10	-24	0
11	-24	0
12	-24	0
13	-24	0
14	-24	0
15	-24	0
16	-24	0
17	-24	0
18	-24	2
19	-24	5
20	-24	9
21	-24	5
22	-24	6
23	-24	5
24	-24	5
25	-24	5
26	-24	5
27	-24	22
28	-24	170
29	-24	132
30	-24	67
31	-24	6
32	-24	3
33	-24	0
34	-24	1
35	-24	0
36	-24	0
37	-24	0
38	-24	0
39	-24	0
40	-24	0
41	-24	0
42	-24	0
43	-24	0
44	-24	0
45	-24	0
46	-24	0
47	-24	0
48	-24	0
49	-24	0
50	-24	0
10	-23	0
11	-23	0
12	-23	0
13	-23	0
14	-23	0
15	-23	0
16	-23	0
17	-23	2
18	-23	5
19	-23	7
20	-23	5
21	-23	6
22	-23	9
23	-23	4
24	-23	7
25	-23	2
26	-23	0
27	-23	23
28	-23	146
29	-23	112
30	-23	72
31	-23	17
32	-23	2
33	-23	1
34	-23	1
35	-23	0
36	-23	0
37	-23	0
38	-23	0
39	-23	0
40	-23	0
41	-23	0
42	-23	0
43	-23	0
44	-23	0
45	-23	0
46	-23	0
47	-23	0
48	-23	0
49	-23	0
50	-23	0
10	-22	0
11	-22	0
12	-22	0
13	-22	0
14	-22	0
15	-22	0
16	-22	0
17	-22	2
18	-22	4
19	-22	7
20	-22	7
21	-22	12
22	-22	7
23	-22	5
24	-22	1
25	-22	6
26	-22	9
27	-22	32
28	-22	228
29	-22	188
30	-22	67
31	-22	18
32	-22	2
33	-22	0
34	-22	2
35	-22	0
36	-22	0
37	-22	0
38	-22	0
39	-22	0
40	-22	0
41	-22	0
42	-22	0
43	-22	0
44	-22	0
45	-22	0
46	-22	0
47	-22	0
48	-22	0
49	-22	0
50	-22	0
10	-21	0
11	-21	0
12	-21	0
13	-21	0
14	-21	0
15	-21	0
16	-21	1
17	-21	2
18	-21	7
19	-21	7
20	-21	8
21	-21	16
22	-21	7
23	-21	4
24	-21	3
25	-21	16
26	-21	17
