# Created by: riboviz
# Date: 2026-03-12 08:26:09.919088
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	485
16	820
17	933
18	1020
19	1259
20	1629
21	2757
22	4699
23	9523
24	19837
25	35992
26	54781
27	83589
28	188662
29	640910
30	1418017
31	1747252
32	1400786
33	672534
34	171816
35	38307
36	9847
37	2498
38	773
39	232
40	107
41	15
42	0
43	1
44	0
45	0
46	0
47	1
48	0
49	0
50	1
