ORF,elp1D_1
Q0045,0
Q0050,0.1
Q0055,0.1
Q0060,0
Q0065,0
Q0070,0
Q0075,0
Q0080,0
Q0085,0
Q0105,0.1
Q0110,0
Q0115,0
Q0120,0
Q0130,0
Q0140,0
Q0160,22.3
Q0250,0
Q0255,0
Q0275,0
YAL001C,8.4
YAL002W,3.7
YAL003W,2629.5
YAL005C,3661.6
YAL007C,122.3
YAL008W,33.1
YAL009W,10.4
YAL010C,7.8
YAL011W,12.6
YAL012W,624
YAL013W,17.9
YAL014C,20.5
YAL015C,10.1
YAL016W,78.3
YAL017W,9
YAL018C,0
YAL019W,22.9
YAL020C,12.3
YAL021C,31.7
YAL022C,29.6
YAL023C,115
YAL024C,5.8
YAL025C,82.7
YAL026C,20.8
YAL027W,9.4
YAL028W,1.3
YAL029C,13.5
YAL030W,61.5
YAL031C,6.3
YAL032C,7.6
YAL033W,42.2
YAL034C,0.5
YAL034W-A,7.1
YAL035W,240.4
YAL036C,165.6
YAL037C-A,0
YAL037W,0.9
YAL038W,9476.8
YAL039C,27.3
YAL040C,7.1
YAL041W,18.6
YAL042W,148.2
YAL043C,17.1
YAL044C,448.9
YAL044W-A,50.7
YAL046C,58.3
YAL047C,7.6
YAL048C,8.1
YAL049C,53.3
YAL051W,8.8
YAL053W,38.8
YAL054C,1.1
YAL055W,13.2
YAL056W,6.2
YAL058W,13
YAL059W,40.8
YAL060W,55.1
YAL061W,4.6
YAL062W,2.5
YAL063C,0.3
YAL063C-A,0.5
YAL064C-A,0
YAL064W,0.5
YAL064W-B,0
YAL065C,0.4
YAL067C,0.8
YAL067W-A,0
YAL068C,0
YAR002C-A,181
YAR002W,38.3
YAR003W,12.5
YAR007C,48.6
YAR008W,14.4
YAR014C,25.4
YAR015W,110.3
YAR018C,11.6
YAR019C,4.1
YAR020C,0.7
YAR023C,1.1
YAR027W,28.9
YAR028W,16.3
YAR029W,0
YAR031W,12
YAR033W,13.5
YAR035C-A,5
YAR035W,1.3
YAR042W,10.6
YAR050W,0.1
YAR064W,0
YAR066W,6.3
YAR068W,1.8
YAR071W,300.6
YBL001C,230.8
YBL002W,872.5
YBL003C,963.6
YBL004W,30.3
YBL005W,4.2
YBL006C,47.5
YBL007C,60.9
YBL008W,9.5
YBL008W-A,18.9
YBL009W,16.1
YBL010C,11.8
YBL011W,11.6
YBL013W,5.1
YBL014C,4.6
YBL015W,19.7
YBL016W,27.7
YBL017C,39.6
YBL018C,47.8
YBL019W,4.6
YBL020W,16.1
YBL021C,18.8
YBL022C,63.6
YBL023C,17
YBL024W,108.8
YBL025W,19.4
YBL026W,100.7
YBL027W,2981.8
YBL028C,153.9
YBL029C-A,24
YBL029W,2.4
YBL030C,396.4
YBL031W,7.8
YBL032W,95.1
YBL033C,25.8
YBL034C,7.9
YBL035C,17.5
YBL036C,98.5
YBL037W,14.9
YBL038W,40.1
YBL039C,195.9
YBL039W-B,13.3
YBL040C,106.5
YBL041W,169
YBL042C,24.8
YBL043W,0
YBL044W,0.4
YBL045C,95.1
YBL046W,17.5
YBL047C,77.9
YBL049W,0.3
YBL050W,66
YBL051C,54.4
YBL052C,3.8
YBL054W,16.6
YBL055C,14.8
YBL056W,71
YBL057C,51.2
YBL058W,129.8
YBL059C-A,33.3
YBL059W,20.2
YBL060W,6.2
YBL061C,21.3
YBL063W,5
YBL064C,57.5
YBL066C,3.5
YBL067C,14.1
YBL068W,70.1
YBL069W,30.3
YBL071C-B,12
YBL071W-A,73.6
YBL072C,4492.6
YBL074C,7.1
YBL075C,0.9
YBL076C,396.8
YBL078C,23
YBL079W,27.5
YBL080C,5.6
YBL081W,19.3
YBL082C,23
YBL084C,5.5
YBL085W,16.4
YBL086C,11.4
