ORF,WT_1
Q0045,0
Q0050,0
Q0055,0
Q0060,0.1
Q0065,0
Q0070,0
Q0075,0.1
Q0080,0
Q0085,0
Q0105,0
Q0110,0
Q0115,0
Q0120,0
Q0130,0
Q0140,0
Q0160,5.8
Q0250,0.1
Q0255,0
Q0275,0.2
YAL001C,8.8
YAL002W,3.9
YAL003W,2812.7
YAL005C,3993
YAL007C,147.1
YAL008W,30
YAL009W,9.1
YAL010C,8.4
YAL011W,10.9
YAL012W,541.4
YAL013W,16.3
YAL014C,20.1
YAL015C,8.6
YAL016W,83.7
YAL017W,11.7
YAL018C,0
YAL019W,19.5
YAL020C,8.9
YAL021C,32.6
YAL022C,24.9
YAL023C,131.1
YAL024C,5
YAL025C,66.3
YAL026C,22.2
YAL027W,10
YAL028W,1.4
YAL029C,14.7
YAL030W,58.1
YAL031C,6.4
YAL032C,10.3
YAL033W,31.7
YAL034C,0.4
YAL034W-A,7.4
YAL035W,185.7
YAL036C,105.8
YAL037C-A,0
YAL037W,0.7
YAL038W,9016.5
YAL039C,25.4
YAL040C,7.9
YAL041W,18.2
YAL042W,120.6
YAL043C,18.7
YAL044C,304.8
YAL044W-A,51.7
YAL046C,46.3
YAL047C,8.7
YAL048C,7.7
YAL049C,56
YAL051W,8.7
YAL053W,36.6
YAL054C,0.8
YAL055W,10.7
YAL056W,5.3
YAL058W,11.9
YAL059W,42.2
YAL060W,57.9
YAL061W,7.6
YAL062W,3
YAL063C,0.4
YAL063C-A,0.3
YAL064C-A,0
YAL064W,0
YAL064W-B,0.7
YAL065C,1.2
YAL067C,0.6
YAL067W-A,0
YAL068C,0.3
YAR002C-A,191.7
YAR002W,39.7
YAR003W,10.3
YAR007C,54.7
YAR008W,14
YAR014C,19.5
YAR015W,152.8
YAR018C,10.4
YAR019C,4.1
YAR020C,3.4
YAR023C,0.4
YAR027W,32.4
YAR028W,16.8
YAR029W,0.4
YAR031W,11.7
YAR033W,13
YAR035C-A,0
YAR035W,1
YAR042W,17.7
YAR050W,0.2
YAR064W,0
YAR066W,20.9
YAR068W,2.6
YAR071W,693.6
YBL001C,172.3
YBL002W,873.7
YBL003C,917.5
YBL004W,28.5
YBL005W,8.6
YBL006C,47.2
YBL007C,68.2
YBL008W,9
YBL008W-A,16.5
YBL009W,18.2
YBL010C,10.4
YBL011W,20.3
YBL013W,3.2
YBL014C,3.8
YBL015W,17.9
YBL016W,28.1
YBL017C,40.6
YBL018C,38.1
YBL019W,3.7
YBL020W,16.2
YBL021C,17
YBL022C,48.9
YBL023C,17.4
YBL024W,106.8
YBL025W,12.8
YBL026W,131.9
YBL027W,2763.9
YBL028C,130.4
YBL029C-A,17.7
YBL029W,2.1
YBL030C,313.7
YBL031W,7
YBL032W,104
YBL033C,23.6
YBL034C,7.5
YBL035C,19.4
YBL036C,84.5
YBL037W,11.2
YBL038W,35.9
YBL039C,186.2
YBL039W-B,17.1
YBL040C,101.9
YBL041W,189.1
YBL042C,27.5
YBL043W,0.3
YBL044W,1
YBL045C,60.4
YBL046W,14.8
YBL047C,70.6
YBL049W,1.1
YBL050W,85.6
YBL051C,62.7
YBL052C,3.6
YBL054W,18.5
YBL055C,16.7
YBL056W,72.6
YBL057C,50.3
YBL058W,97.3
YBL059C-A,43.4
YBL059W,12.7
YBL060W,4.9
YBL061C,18.7
YBL063W,5.2
YBL064C,43.2
YBL066C,2.8
YBL067C,19.1
YBL068W,61.7
YBL069W,29.9
YBL071C-B,2.2
YBL071W-A,73.8
YBL072C,4413.3
YBL074C,6.9
YBL075C,0.5
YBL076C,365.3
YBL078C,19.9
YBL079W,24.1
YBL080C,5.6
YBL081W,19.9
YBL082C,20.2
YBL084C,6.6
YBL085W,15.6
YBL086C,8.7
YBL087C,2294.1
YBL088C,1.1
YBL089W,8.1
YBL090W,34.5
YBL091C,101.7
YBL091C-A,21.4
YBL092W,4189
YBL093C,45.4
YBL095W,6.3
YBL097W,9.3
YBL098W,15.6
YBL099W,203.9
YBL100W-C,0
YBL101C,9.6
YBL102W,57.9
YBL103C,13.9
YBL104C,9.5
YBL105C,15.7
YBL106C,5.9
YBL107C,19.3
YBL108C-A,1.2
YBL111C,0.4
YBL112C,0.6
YBL113C,0.1
YBR001C,13
YBR002C,19.8
YBR003W,21.2
YBR004C,15.7
YBR005W,10.8
YBR006W,7.4
YBR007C,8.2
YBR008C,0.6
YBR009C,1147.8
YBR010W,1420.7
YBR011C,1379.4
YBR013C,28.1
YBR014C,64
YBR015C,69.6
YBR016W,122.6
YBR017C,47.9
YBR018C,0.4
YBR019C,0.1
YBR020W,0
YBR021W,5.7
YBR022W,24.6
YBR023C,23.6
YBR024W,11.1
YBR025C,625.7
YBR026C,52.8
YBR028C,16.3
YBR029C,39.7
YBR030W,57.1
YBR031W,3253.4
YBR033W,0.2
YBR034C,88.6
YBR035C,118.1
YBR036C,71
YBR037C,21.4
YBR038W,34.4
YBR039W,131.7
YBR040W,0.2
YBR041W,32.1
YBR042C,29.4
YBR043C,4.7
YBR044C,4.6
YBR045C,0.5
YBR046C,40.4
YBR047W,10.8
YBR048W,2367
YBR049C,36
YBR050C,0.5
YBR052C,97.9
YBR053C,34.8
YBR054W,20.3
YBR055C,8.1
YBR056W,128.6
YBR056W-A,9.7
YBR057C,17
YBR058C,26.2
YBR058C-A,150.2
YBR059C,24.1
YBR060C,12.3
YBR061C,37.7
YBR062C,30.2
YBR063C,0.2
YBR065C,12.1
YBR066C,27.4
YBR067C,327.6
YBR068C,101.2
YBR069C,81.4
YBR070C,19.5
YBR071W,32.3
YBR072C-A,1.5
YBR072W,20.6
YBR073W,20.8
YBR074W,26.2
YBR076W,0.1
YBR077C,43.9
YBR078W,1144.4
YBR079C,157.7
YBR080C,66.4
YBR081C,12.4
YBR082C,549.6
YBR083W,23.1
YBR084C-A,2308.6
YBR084W,81.6
YBR085C-A,86.7
YBR085W,21.3
YBR086C,71.2
YBR087W,33.5
YBR088C,142.9
YBR089C-A,108.6
YBR090C,106.5
YBR091C,41.5
YBR092C,155.6
YBR093C,145.9
YBR094W,19.3
YBR095C,13.6
YBR096W,90.5
YBR097W,5.6
YBR098W,3.7
YBR101C,88.6
YBR102C,12.6
YBR103W,14.6
YBR104W,31.8
YBR105C,11
YBR106W,780
YBR107C,4.3
YBR108W,9.9
YBR109C,391.7
YBR110W,26.9
YBR111C,116.7
YBR111W-A,42.2
YBR112C,36.9
YBR114W,3
YBR115C,56.1
YBR117C,0.1
YBR118W,17991.6
YBR119W,11.3
YBR120C,27.6
YBR121C,389.1
YBR122C,49
YBR123C,12.2
YBR125C,18
YBR126C,99.2
YBR126W-A,193
YBR127C,559.8
YBR128C,1.8
YBR129C,15.7
YBR130C,38.9
YBR131W,4.6
YBR132C,11.9
YBR133C,14
YBR135W,65.9
YBR136W,3.1
YBR137W,50.3
YBR138C,8.2
YBR139W,39.6
YBR140C,8.3
YBR141C,10.1
YBR142W,30.6
YBR143C,270.1
YBR145W,17.4
YBR146W,49.5
YBR147W,0.6
YBR148W,1.3
YBR149W,120.3
YBR150C,5
YBR151W,33.3
YBR152W,7.1
YBR153W,7.7
YBR154C,178.8
YBR155W,51.8
YBR156C,6.6
YBR157C,12.1
YBR158W,42
YBR159W,114.1
YBR160W,40.8
YBR161W,10.5
YBR162C,442.2
YBR162W-A,245.5
YBR163W,3.7
YBR164C,118.3
YBR165W,15.7
YBR166C,29.7
YBR167C,12.3
YBR168W,5
YBR169C,17.7
YBR170C,30.3
YBR171W,83.3
YBR172C,22.1
YBR173C,136
YBR175W,13.2
YBR176W,21.5
YBR177C,41.7
YBR179C,10.9
YBR180W,0.1
YBR181C,3581.2
YBR182C,1.3
YBR182C-A,0
YBR183W,4.3
YBR184W,2.7
YBR185C,20.8
YBR186W,2.1
YBR187W,107.1
YBR188C,22.6
YBR189W,3455.3
YBR191W,3145.7
YBR192W,18.6
YBR193C,18.7
YBR194W,16.3
YBR195C,11.1
YBR196C,1827.4
YBR196C-A,1366.9
YBR196C-B,0
YBR197C,12.9
YBR198C,25.1
YBR199W,72.9
