# Created by: riboviz
# Date: 2026-03-12 09:30:59.257162
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	1225
16	2001
17	2373
18	2813
19	4045
20	6718
21	15238
22	26252
23	37153
24	45691
25	57605
26	72153
27	106450
28	236042
29	883343
30	1997590
31	2380335
32	1815104
33	856346
34	222443
35	49157
36	12723
37	3326
38	1169
39	428
40	302
41	56
42	12
43	3
44	0
45	1
46	0
47	0
48	0
49	0
50	0
