# Created by: riboviz
# Date: 2026-03-12 10:29:33.18953
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL068C	0	0	0	1	1	1
YAL067W-A	0	0	0	1	1	1
YAL067C	8	1	1	0.0117052980805584	0.0117052980805584	0.000674021383952706
YAL065C	0	1	2	0.977249868051821	0.97032678060404	0.996997853917268
YAL064W-B	0	1	2	0.977249868051821	0.977249868051821	0.997661132509476
YAL064C-A	0	0	0	1	1	1
YAL064W	0	0	0	1	1	1
YAL063C-A	0	0	0	1	1	1
YAL063C	2	4	4	0.801928045423963	0.82462588447401	0.896134450270642
YAL062W	16	4	8	0.0264473380953238	0.151684932111279	0.0180153342776452
YAL061W	41	12	23	6.57864902697531e-05	0.0147763158781003	1.10615984521657e-05
YAL060W	251	121	175	6.85108710898313e-09	0.000498559960741928	1.13679380774789e-10
YAL059W	97	46	58	3.72018528500425e-05	0.00197190362522504	6.50180444871331e-07
YAL058W	64	32	52	0.000623880823373906	0.14241972462801	0.00118836499201121
YAL056W	60	8	37	5.68308730269775e-09	0.0184063587270323	1.76209849500311e-08
YAL055W	27	7	15	0.000928494750691109	0.039785895347589	0.000290491848495605
YAL054C	3	4	2	0.671639356718115	0.382797241997882	0.541197548852346
YAL053W	315	127	251	3.22940473932607e-16	0.0019553815025532	4.45716991164149e-15
YAL051W	109	43	77	1.50770274616979e-07	0.0106292624595268	7.5693778450022e-08
YAL049C	161	75	119	4.60541731386664e-06	0.0580519006325703	1.08295161409554e-05
YAL048C	50	21	32	0.000206122732104686	0.0292963087133486	6.28098516377685e-05
YAL047C	46	22	37	0.00135547418428552	0.177051337139572	0.00275431583253824
YAL046C	64	24	52	5.7217476435465e-05	0.120589735841431	0.000187841118671452
YAL044W-A	78	31	35	2.03817645471494e-05	0.000676542133723535	1.18786126466728e-07
YAL044C	616	286	433	6.4212075574135e-13	3.59832217031121e-05	2.54595680662075e-15
YAL043C	177	83	103	4.72597439150744e-09	7.09619903836666e-06	5.07543368936461e-13
YAL042W	600	273	356	2.33758606625021e-17	1.89092069440448e-08	4.37245195192049e-23
YAL041W	184	65	122	3.39320181012177e-12	0.000307210368522901	1.74260495263392e-13
YAL040C	54	21	37	0.000114324833039182	0.039937297444526	6.04812971552533e-05
YAL039C	77	39	60	0.00121268467518419	0.0865334809890906	0.000942828706112767
YAL038W	52060	23873	34669	1.26793957980044e-65	3.01556901491035e-23	3.71821018330473e-81
YAL037C-A	0	0	0	1	1	1
YAL037W	0	1	3	0.977249868051821	0.963180864939849	0.996309254263855
YAL036C	447	189	315	9.7247729109516e-18	2.01748256902806e-05	2.52153358306394e-19
YAL035W	2187	988	1375	3.43249849508893e-56	4.21065339456578e-23	2.00607912509358e-73
YAL034W-A	24	14	17	0.0495929828214982	0.150749869761147	0.0289479372409594
YAL034C	2	2	0	0.579259709439103	0.17288929307558	0.299706335160119
YAL033W	61	28	54	0.0036175907910813	0.284426474607616	0.0106667264737413
YAL032C	39	19	39	0.00782816387677181	0.371115795546854	0.0260973757060393
YAL031C	56	20	43	7.08882400739911e-05	0.0991076471287737	0.000158878363257366
YAL030W	93	44	53	0.00013956851716416	0.0046213570944995	5.1653005340959e-06
YAL029C	248	97	166	2.79425593244894e-15	3.33124012168751e-05	3.57521221105417e-17
YAL028W	4	3	3	0.388407002077741	0.388407002077741	0.344249870548317
YAL027W	35	12	18	0.000406596687721287	0.00878299756078365	2.59717293732216e-05
YAL026C	339	143	245	1.71829131289594e-17	0.000110353717830147	5.02010392157401e-18
YAL025C	240	106	162	5.92090656144391e-11	0.000221989792310495	9.72272437316739e-13
YAL024C	82	27	61	1.52945284902496e-07	0.0488511507602296	8.28649218272757e-07
YAL023C	1072	563	793	1.17103968450853e-24	1.49861701258843e-07	1.32494964976786e-27
YAL022C	138	70	100	8.17722919179905e-06	0.00795959768071739	1.00697513426199e-06
YAL021C	322	122	219	1.19057337325692e-17	1.65608589319571e-05	2.19293105382963e-19
YAL020C	35	9	25	0.000160624626021135	0.111196750854044	0.000328834618063447
YAL019W	256	97	179	3.05988936804211e-15	0.000221957290113387	6.21224177621998e-16
YAL018C	0	0	0	1	1	1
YAL017W	192	53	121	7.49497705220927e-17	4.68472510015725e-05	3.96829715628685e-18
YAL016W	630	235	406	4.08740830393664e-28	5.68167952383882e-09	2.90711598635732e-32
YAL015C	33	16	25	0.0145497976101727	0.161758490765702	0.0125098676153948
YAL014C	42	32	42	0.145604468392545	0.547322998896867	0.253903335353377
YAL013W	79	37	50	0.000127309564832524	0.00724723208436466	7.97997072141436e-06
YAL012W	2591	1037	1642	9.20414908763011e-42	5.89318469346013e-16	1.79516560538963e-52
YAL011W	39	17	39	0.00194404942645822	0.49748714082416	0.020381020375961
YAL010C	50	24	26	0.00247896815261457	0.00382254753824067	5.37738175596422e-05
YAL009W	23	16	23	0.0959008962183386	0.5	0.178013121819351
YAL008W	72	36	51	0.00124933736505485	0.02712472577203	0.00023349831047572
YAL007C	358	194	226	2.23477969741527e-08	4.15994420322228e-05	1.45361130301755e-11
YAL005C	29764	13092	19671	4.98294369476228e-77	3.2523124835009e-28	7.099611590164e-97
YAL003W	7070	3129	4707	6.78904527384948e-27	5.69920709324199e-09	2.49400179506131e-31
YAL002W	52	32	35	0.0109765629121808	0.0362600905985798	0.00192647182989907
YAL001C	103	55	79	7.09813085723796e-05	0.0367173576639965	3.80834423866663e-05
YAR002W	224	100	179	2.92609539850976e-11	0.0181966887638124	5.00090504655092e-10
YAR002C-A	484	212	349	1.60461026975848e-15	0.000271406877869925	5.31213756359943e-16
YAR003W	51	12	40	1.32090106042811e-05	0.230004386412461	0.000237982630211989
YAR007C	387	174	266	1.05052026229011e-15	7.86331504429227e-06	2.26701008380589e-18
YAR008W	41	17	33	0.0019250583647522	0.162822599703572	0.0030841019642437
YAR014C	155	67	117	1.4342869917584e-08	0.0241282328161272	5.17303155745754e-08
YAR015W	533	292	339	2.19587171670206e-13	1.57730981203501e-08	8.30055603913257e-20
YAR018C	54	23	37	0.00025245253422519	0.0482706319396346	0.000139245117381544
