# Created by: riboviz
# Date: 2026-03-12 11:47:02.364979
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	813
16	1125
17	1609
18	1929
19	2473
20	3625
21	6150
22	8366
23	14698
24	24662
25	38081
26	54825
27	89956
28	257764
29	1185835
30	2808166
31	3570144
32	2760862
33	1293394
34	317989
35	55165
36	11711
37	3554
38	1167
39	360
40	121
41	19
42	5
43	1
44	1
45	0
46	1
47	0
48	0
49	0
50	0
