# Created by: riboviz
# Date: 2026-03-12 12:48:27.094843
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ORF	readcount	rpb	tpm
Q0045	1	0.000605326876513317	0.0457831006904852
Q0050	10	0.00391849529780564	0.296370228607686
Q0055	0	0	0
Q0060	0	0	0
Q0065	0	0	0
Q0070	0	0	0
Q0075	0	0	0
Q0080	0	0	0
Q0085	0	0	0
Q0105	1	0.000829875518672199	0.0627665413615614
Q0110	0	0	0
Q0115	0	0	0
Q0120	0	0	0
Q0130	1	0.00359712230215827	0.27206360554202
Q0140	2	0.00160771704180064	0.12159756003325
Q0160	94	0.124503311258278	9.4166438940716
Q0250	1	0.0012453300124533	0.0941888945712098
Q0255	2	0.00136425648021828	0.103183741256046
Q0275	0	0	0
YAL001C	407	0.115297450424929	8.72037074012957
YAL002W	187	0.0482954545454545	3.65276306758973
YAL003W	25035	37.4775449101796	2834.56472664515
YAL005C	102428	51.836032388664	3920.55000748549
YAL007C	1286	1.85035971223022	139.949518690815
YAL008W	314	0.487577639751553	36.8772923213882
YAL009W	133	0.160822249093108	12.1635789012221
YAL010C	176	0.115107913669065	8.70603537734464
YAL011W	276	0.143376623376623	10.8441019875471
YAL012W	10347	8.39853896103896	635.212427905058
YAL013W	287	0.226877470355731	17.1595785231428
YAL014C	232	0.284662576687117	21.5300788994333
YAL015C	157	0.125902165196472	9.52244436847394
YAL016W	2201	1.12583120204604	85.1507595047775
YAL017W	519	0.126032054395338	9.53226836688045
YAL018C	1	0.000975609756097561	0.0737889583811527
YAL019W	1085	0.315132152192855	23.8346050942897
YAL020C	147	0.140133460438513	10.5988096321069
YAL021C	1121	0.437719640765326	33.1063482639219
YAL022C	647	0.404122423485322	30.5652670046352
YAL023C	3523	1.51396648044693	114.506859856562
YAL024C	330	0.0757749712973594	5.73114010847874
YAL025C	874	0.902892561983471	68.2890892208219
YAL026C	1134	0.275577156743621	20.8429151334952
YAL027W	90	0.108043217286915	8.17170637534374
YAL028W	42	0.025703794369645	1.94407261830393
YAL029C	839	0.187990141160654	14.2183866197248
YAL030W	326	0.812967581047382	61.4877317782099
YAL031C	194	0.0832618025751073	6.2973967270782
YAL032C	156	0.131423757371525	9.94006271705671
YAL033W	340	0.597539543057997	45.1941159856445
YAL034C	11	0.00853374709076804	0.645438716638865
YAL034W-A	83	0.0905125408942203	6.8457967658414
YAL035W	9269	3.0330497382199	229.400720424011
YAL036C	2461	2.12705272255834	160.876829939859
YAL037C-A	1	0.00714285714285714	0.540240588147725
YAL037W	6	0.00705052878965922	0.533257454810915
YAL038W	199318	128.592258064516	9725.90599792255
YAL039C	280	0.326721120186698	24.7111214181923
YAL040C	227	0.126815642458101	9.59153401750542
YAL041W	676	0.258805513016845	19.5744139595332
YAL042W	2392	1.84710424710425	139.703295875606
YAL043C	592	0.246153846153846	18.617521806937
YAL044C	3500	6.25	472.710514629259
YAL044W-A	270	0.710526315789474	53.7397216631158
YAL046C	273	0.675742574257426	51.1088992054605
YAL047C	198	0.103340292275574	7.81600683896396
YAL048C	231	0.113457760314342	8.58122820270011
YAL049C	620	0.786802030456853	59.5087348365768
YAL051W	416	0.13036665622062	9.86011026440724
YAL053W	1160	0.483534806169237	36.5715179304671
YAL054C	24	0.0109639104613979	0.829240921049044
YAL055W	97	0.164406779661017	12.4346901475358
YAL056W	235	0.087360594795539	6.60740347585879
YAL058W	278	0.17866323907455	13.5129586701218
YAL059W	380	0.553935860058309	41.8962088767624
YAL060W	968	0.809364548494983	61.2152211586787
YAL061W	99	0.0760953112990008	5.7553686024039
YAL062W	60	0.0422237860661506	3.19354042254813
YAL063C	12	0.00298804780876494	0.225997058786897
YAL063C-A	7	0.0207100591715976	1.56637803664133
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL064W-B	0	0	0
YAL065C	0	0	0
YAL067C	15	0.00820120284308365	0.620287170645283
YAL067W-A	0	0	0
