# Created by: riboviz
# Date: 2025-09-09 19:24:03.925483
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ReadLen	Pos	Counts
10	-24	0
11	-24	0
12	-24	0
13	-24	0
14	-24	0
15	-24	2
16	-24	5
17	-24	9
18	-24	4
19	-24	13
20	-24	7
21	-24	45
22	-24	33
23	-24	25
24	-24	13
25	-24	15
26	-24	17
27	-24	19
28	-24	234
29	-24	217
30	-24	58
31	-24	11
32	-24	4
33	-24	0
34	-24	0
35	-24	0
36	-24	0
37	-24	0
38	-24	0
39	-24	0
40	-24	0
41	-24	0
42	-24	0
43	-24	0
44	-24	0
45	-24	0
46	-24	0
47	-24	0
48	-24	0
49	-24	0
50	-24	0
10	-23	0
11	-23	0
12	-23	0
13	-23	0
14	-23	0
15	-23	6
16	-23	5
17	-23	9
18	-23	9
19	-23	15
20	-23	18
21	-23	47
22	-23	29
23	-23	19
24	-23	20
25	-23	11
26	-23	8
27	-23	72
28	-23	237
29	-23	193
30	-23	95
31	-23	12
32	-23	3
33	-23	0
34	-23	0
35	-23	0
36	-23	0
37	-23	0
38	-23	0
39	-23	0
40	-23	0
41	-23	0
42	-23	0
43	-23	0
44	-23	0
45	-23	0
46	-23	0
47	-23	0
48	-23	0
49	-23	0
50	-23	0
10	-22	0
11	-22	0
12	-22	0
13	-22	0
14	-22	0
15	-22	3
16	-22	4
17	-22	1
18	-22	6
19	-22	13
20	-22	23
21	-22	60
22	-22	38
23	-22	29
24	-22	14
25	-22	14
26	-22	20
27	-22	64
28	-22	251
29	-22	258
30	-22	92
31	-22	10
32	-22	3
33	-22	1
34	-22	0
35	-22	0
36	-22	0
37	-22	0
38	-22	0
39	-22	0
40	-22	0
41	-22	0
42	-22	0
43	-22	0
44	-22	0
45	-22	0
46	-22	0
47	-22	0
48	-22	0
49	-22	0
50	-22	0
10	-21	0
11	-21	0
12	-21	0
13	-21	0
14	-21	0
15	-21	3
16	-21	9
17	-21	12
18	-21	7
19	-21	17
20	-21	28
21	-21	38
22	-21	17
23	-21	9
24	-21	7
25	-21	29
26	-21	53
