# Created by: riboviz
# Date: 2025-09-09 19:24:57.605296
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
Length	Counts
10	0
11	0
12	0
13	0
14	0
15	134518
16	304434
17	379870
18	379596
19	588841
20	582032
21	905470
22	890925
23	592019
24	599616
25	853189
26	1022547
27	2624702
28	10765973
29	11634814
30	4681527
31	799113
32	143147
33	52294
34	14674
35	6956
36	4501
37	372
38	50
39	9
40	2
41	0
42	2
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	5
