# Created by: riboviz
# Date: 2025-09-09 21:53:34.507091
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	eRF1Depletion_1	CHX_1
Q0045	0.4	0.5
Q0050	0.4	0.3
Q0055	0.3	0.2
Q0060	0.1	0.1
Q0065	0.3	0.3
Q0070	0.2	0.2
Q0075	0.1	0
Q0080	0.7	0.2
Q0085	0.2	0.6
Q0105	0.2	0.5
Q0110	0.2	0.1
Q0115	0.6	0.3
Q0120	0.2	0.2
Q0130	1.1	1.6
Q0140	0.8	0.3
Q0160	130.9	55.5
Q0250	0.5	0.8
Q0255	0.1	0.2
Q0275	0.1	1
YAL001C	5.5	5.7
YAL002W	2.1	2.9
YAL003W	2692.9	4030.7
YAL005C	3348.2	4601.5
YAL007C	92.6	106.7
YAL008W	37.3	32.7
YAL009W	5.7	8.6
YAL010C	5	5.3
YAL011W	11.4	17
YAL012W	594.8	738.7
YAL013W	31.3	24.6
YAL014C	19.2	21.1
YAL015C	10	7.3
YAL016W	125.9	90.7
YAL017W	6.6	7.8
YAL018C	0	0
YAL019W	16.7	22.2
YAL020C	8.2	8.7
YAL021C	32.4	39.7
YAL022C	17.9	29.1
YAL023C	91	133.6
YAL024C	2.4	2.5
YAL025C	65.1	60.6
YAL026C	6.3	14.5
YAL027W	5.8	5.7
YAL028W	1.6	1.6
YAL029C	4.9	7.4
YAL030W	75.9	58.9
YAL031C	4.4	5.2
YAL032C	11.8	10.1
YAL033W	37.1	27.7
YAL034C	1.1	1.4
YAL034W-A	9.3	8
YAL035W	201.2	224.1
YAL036C	91.4	113.3
YAL037C-A	0	0
YAL037W	0.7	1.1
YAL038W	6243.6	7648.8
YAL039C	31.8	28.8
YAL040C	3	6.9
YAL041W	12.8	13.2
YAL042W	76.2	109.9
YAL043C	24.5	22.8
YAL044C	371.6	387
YAL044W-A	52.1	44.5
YAL046C	45.7	46.4
YAL047C	7.6	6.3
YAL048C	5.3	5.6
YAL049C	39.5	60.6
YAL051W	6.2	7.8
YAL053W	26.3	29.6
YAL054C	0.4	0.3
YAL055W	10.4	9.3
YAL056W	2.9	3.5
YAL058W	7.3	10.9
YAL059W	47.7	58.8
YAL060W	53.1	58.4
YAL061W	2.3	2.5
YAL062W	1.7	2.3
YAL063C	0.2	0.1
YAL063C-A	0.1	0
YAL064C-A	0	0
YAL064W	0.1	0
YAL064W-B	0.6	0
YAL065C	0.6	0.2
YAL067C	0.2	0.2
YAL067W-A	0	0
YAL068C	0.1	0
YAR002C-A	155.5	170.3
YAR002W	42.9	41.8
YAR003W	6.9	7.2
YAR007C	61.9	48.9
YAR008W	9.4	12
YAR014C	23.3	26.3
YAR015W	105.6	195.7
YAR018C	6.4	7.3
YAR019C	1.8	2.4
YAR020C	0.5	0.6
YAR023C	1.3	0.5
YAR027W	48.6	28.9
YAR028W	26.3	18.1
YAR029W	0.3	0.2
YAR031W	10.3	9.2
YAR033W	20.1	12.6
YAR035C-A	0.2	0
YAR035W	1.4	0.9
YAR042W	7.8	11
YAR050W	0.1	0.1
YAR064W	0	0
YAR066W	9.8	7
YAR068W	7.6	3.2
YAR071W	305.9	514.9
YBL001C	173.5	166.4
YBL002W	1092.3	893.3
YBL003C	692.4	978.5
YBL004W	13.5	20.9
YBL005W	2	2
YBL006C	54.4	45
YBL007C	81.8	80.3
YBL008W	3.6	5.1
YBL008W-A	7.7	11.2
YBL009W	10.6	13.2
YBL010C	13.2	9.9
YBL011W	10.3	16.6
YBL013W	4	4.8
YBL014C	1.3	1.9
YBL015W	18	21
YBL016W	24.6	28.7
YBL017C	22.4	30.3
YBL018C	12	26.8
YBL019W	2.7	2.3
YBL020W	7.7	14.7
YBL021C	32.8	24.1
YBL022C	45.8	49.7
YBL023C	17.3	17.8
YBL024W	71.6	73.2
YBL025W	18.1	16
YBL026W	103	69.5
YBL027W	3645.5	3624.2
YBL028C	139.5	123.8
YBL029C-A	38.6	18.6
YBL029W	5.3	2.7
YBL030C	315.8	484.1
YBL031W	3.5	5.6
YBL032W	80.8	103.3
YBL033C	36.9	26.8
YBL034C	5.5	5.9
YBL035C	16.6	16.3
YBL036C	63.2	68.3
YBL037W	7.7	8.7
YBL038W	32	27.1
YBL039C	142.3	187.8
YBL039W-B	6.3	3.1
YBL040C	73.2	65.9
YBL041W	255.4	188.2
YBL042C	17.8	27.7
YBL043W	0.4	0.2
YBL044W	1	0.6
YBL045C	50.7	74.6
YBL046W	10.1	14.2
YBL047C	70.5	89.5
YBL049W	0.4	0.8
YBL050W	95.6	64.9
YBL051C	36.9	40.7
YBL052C	2	2
YBL054W	13.9	14.7
YBL055C	13.2	13.6
YBL056W	50.2	55.3
YBL057C	37.6	43.6
YBL058W	131.5	121.6
YBL059C-A	45.8	36.9
YBL059W	13.6	13
YBL060W	5	4.2
YBL061C	20.7	20.9
YBL063W	2.8	3.1
YBL064C	39	33.3
YBL066C	2.1	2.6
YBL067C	5.6	8.8
YBL068W	27.2	47.4
YBL069W	30.4	28.1
YBL071C-B	2	1.4
YBL071W-A	51.3	74.3
YBL072C	4905.9	4454.3
YBL074C	7.6	6.2
YBL075C	1.4	1
YBL076C	249.8	253.4
YBL078C	46.1	25.2
YBL079W	9.5	14.1
YBL080C	2.8	3.3
YBL081W	15.4	16.9
YBL082C	11.7	22.8
YBL084C	4.3	4.2
YBL085W	14.9	13.6
YBL086C	10.4	8.2
YBL087C	2544.6	2686.9
YBL088C	0.6	0.6
YBL089W	8	7.3
YBL090W	35.6	30.8
YBL091C	78.8	116.3
YBL091C-A	28.5	26.9
YBL092W	4902.2	4735.4
YBL093C	43.8	42.3
YBL095W	7.3	5.8
YBL097W	5.5	6
YBL098W	8.9	11.1
YBL099W	225.4	300.9
YBL100W-C	1.6	0.1
YBL101C	7.9	6.7
YBL102W	65.9	56.8
YBL103C	17.7	10.9
YBL104C	4.5	5.6
YBL105C	7.9	9.5
YBL106C	1.3	2.7
YBL107C	22.5	11.1
YBL108C-A	0	0
YBL111C	0.3	0.2
YBL112C	0	0
YBL113C	0	0.1
YBR001C	7.5	10.7
YBR002C	17.1	20.9
YBR003W	10.7	11.5
YBR004C	7	10.5
YBR005W	11.3	13
YBR006W	7.6	7.7
YBR007C	6.6	5.9
YBR008C	0.2	0.3
YBR009C	2027.9	1466.5
YBR010W	2476.3	1665.5
